date,C_INF_0,C_INF_1,C_INF_2,C_INF_3,C_SDOH_0,C_SDOH_1,C_SDOH_2,C_SDOH_3,D_INF_0,D_INF_1,D_INF_2,D_INF_3,D_SDOH_0,D_SDOH_1,D_SDOH_2,D_SDOH_3
3/1/2020,9.52E-05,2.17E-05,3.48E-05,2.90E-05,0,0.000114014,2.03147E-05,7.79611E-05,0,1.8087E-06,0,0,0,0,9.67367E-07,0
3/2/2020,0.000102197,3.80E-05,3.60E-05,2.90E-05,0,0.000116014,3.09557E-05,8.41159E-05,0,3.61741E-06,0,0,0,0,1.93473E-06,0
3/3/2020,0.000127397,6.51E-05,4.20E-05,2.90E-05,0,0.000130015,5.32052E-05,0.000100529,1.39996E-06,1.26609E-05,0,0,0,0,7.73894E-06,0
3/4/2020,0.000162396,0.00011214,5.04E-05,2.90E-05,0,0.000150018,8.89978E-05,0.000123096,2.79993E-06,2.35131E-05,0,0,0,0,1.45105E-05,0
3/5/2020,0.000201595,0.000193531,6.60E-05,4.15E-05,0,0.000186022,0.00014704,0.000145664,5.59985E-06,3.97915E-05,0,0,0,0,2.51515E-05,0
3/6/2020,0.000277193,0.000329184,9.48E-05,6.22E-05,0,0.000258031,0.000251515,0.000174387,8.39978E-06,5.78785E-05,0,0,0,0,3.67599E-05,0
3/7/2020,0.00036679,0.000482924,0.000153543,9.54E-05,3.10609E-06,0.00033804,0.000386947,0.000225677,1.11997E-05,7.95829E-05,0,0,0,0,5.03031E-05,0
3/8/2020,0.000508187,0.000736142,0.000226716,0.000141099,3.10609E-05,0.000456054,0.000595898,0.000285173,1.39996E-05,0.000104905,0,0,0,0,6.5781E-05,0
3/9/2020,0.000683182,0.0010599,0.000344273,0.000219949,7.76523E-05,0.000594071,0.000886108,0.000361083,1.67996E-05,0.000137461,0,0,3.10609E-06,0,8.41609E-05,0
3/10/2020,0.000866578,0.001419832,0.000481022,0.000311249,0.00014288,0.000726086,0.001213078,0.000445199,1.81995E-05,0.000162783,1.19956E-06,0,6.21218E-06,2.00024E-06,9.77041E-05,0
3/11/2020,0.001117171,0.001873817,0.000681348,0.000456498,0.000242275,0.000904107,0.00163485,0.000599069,2.23994E-05,0.000193531,2.39911E-06,0,9.31827E-06,6.00071E-06,0.000115117,0
3/12/2020,0.001514761,0.002541228,0.001047213,0.000647397,0.00039758,0.001120133,0.002310072,0.000902707,2.65993E-05,0.000220662,7.19734E-06,0,1.24244E-05,1.20014E-05,0.000130595,4.10321E-06
3/13/2020,0.002038347,0.003436536,0.001543829,0.000921296,0.000580839,0.001364162,0.003227136,0.001356113,3.49991E-05,0.000256836,1.31951E-05,0,1.55305E-05,1.80021E-05,0.000153811,1.0258E-05
3/14/2020,0.002801327,0.004557932,0.002225177,0.001294794,0.000832432,0.001760209,0.00440152,0.002035195,4.47988E-05,0.000300245,2.1592E-05,0,1.86365E-05,2.60031E-05,0.000181865,1.84645E-05
3/15/2020,0.003781302,0.005977764,0.003214811,0.001780342,0.001143041,0.002292273,0.005843864,0.003206662,5.31986E-05,0.000343654,3.47871E-05,0,2.17426E-05,3.4004E-05,0.000210886,3.07741E-05
3/16/2020,0.004797675,0.007473562,0.004226037,0.002278339,0.001450544,0.002872341,0.007319099,0.004443782,6.57983E-05,0.000385254,5.51796E-05,0,2.48487E-05,4.40052E-05,0.000239907,5.7445E-05
3/17/2020,0.006515431,0.009441431,0.005825046,0.002942336,0.001879185,0.003896463,0.009450208,0.006405118,8.11979E-05,0.000444941,9.23658E-05,0,3.10609E-05,5.40064E-05,0.000281504,0.000108735
3/18/2020,0.008794572,0.012170764,0.008222959,0.003834582,0.002438281,0.00530063,0.012290398,0.009554336,0.000106397,0.000508246,0.000146346,2.07499E-05,3.72731E-05,7.80093E-05,0.00033084,0.000186696
3/19/2020,0.011915091,0.015477073,0.01224867,0.005125226,0.00314647,0.007140849,0.015879329,0.015442449,0.000152596,0.000593255,0.000229115,4.56498E-05,4.65914E-05,0.000114014,0.00039662,0.000322102
3/20/2020,0.016238179,0.019955423,0.019472398,0.006918017,0.004087615,0.009643146,0.020810966,0.026459581,0.000211395,0.000685499,0.000353869,7.88496E-05,5.90157E-05,0.000160019,0.000472075,0.000527263
3/21/2020,0.022077427,0.026090544,0.029157616,0.009329156,0.005373537,0.012857529,0.027734412,0.040913155,0.000281393,0.000804873,0.000554195,0.000116199,7.14401E-05,0.000212025,0.000563008,0.000871933
3/22/2020,0.03042541,0.033857116,0.042755787,0.012329592,0.007168857,0.016757992,0.037114002,0.061628236,0.00037799,0.000958613,0.000824095,0.000157699,9.62888E-05,0.000280033,0.000679092,0.001337648
3/23/2020,0.042337701,0.043880949,0.060651969,0.016193224,0.009545016,0.021742585,0.049975147,0.089025401,0.000496987,0.001117779,0.001164769,0.000211649,0.000130456,0.000360043,0.000809686,0.001920305
3/24/2020,0.057107318,0.057513145,0.083331981,0.020924201,0.012610728,0.027971325,0.06653647,0.123734496,0.000652383,0.001309501,0.001624199,0.000282199,0.000167729,0.000462055,0.000965432,0.002726586
3/25/2020,0.075246647,0.074211093,0.110919378,0.026846224,0.016437431,0.035674241,0.086833764,0.165901183,0.000845578,0.001517502,0.002240771,0.000340298,0.000217426,0.000578069,0.001158906,0.003766751
3/26/2020,0.096535894,0.094280464,0.143630081,0.03403814,0.021310887,0.044711315,0.11130041,0.215000252,0.001089172,0.001797851,0.003049272,0.000427448,0.000301291,0.000706084,0.001419127,0.005129019
3/27/2020,0.12291261,0.119142899,0.182150235,0.043807194,0.027482689,0.057524839,0.141660256,0.270974258,0.001385964,0.002112565,0.004148066,0.000543647,0.000406898,0.000866103,0.001719979,0.006985723
3/28/2020,0.155764157,0.148149072,0.227537849,0.055800637,0.035148521,0.073114692,0.177898792,0.337688428,0.001762554,0.002494202,0.005582735,0.000680597,0.000574627,0.001074128,0.002089513,0.009384052
3/29/2020,0.193957965,0.181718604,0.279059994,0.071068415,0.044274215,0.092158956,0.219973452,0.412643906,0.002266541,0.003056708,0.007410859,0.000871496,0.000788947,0.001322157,0.002603185,0.012496341
3/30/2020,0.237513635,0.217869155,0.336210458,0.088041835,0.055030606,0.114269584,0.266676964,0.494816938,0.002899325,0.003706033,0.009662426,0.001120495,0.001046753,0.001632194,0.003217463,0.016343105
3/31/2020,0.287112947,0.256011089,0.398648566,0.10829374,0.06750156,0.142352923,0.31776168,0.582227724,0.003618906,0.004396958,0.012362628,0.001410993,0.001357362,0.001982236,0.003882044,0.02096948
4/1/2020,0.344104068,0.298993112,0.46980505,0.132513026,0.08259716,0.175322842,0.374847942,0.683374022,0.004444885,0.005236196,0.015643415,0.001759592,0.001761153,0.002334277,0.004660774,0.026636019
4/2/2020,0.4083652,0.344921513,0.546968912,0.159060451,0.099183683,0.212101215,0.437221831,0.793840772,0.005851848,0.0062346,0.019546771,0.002245139,0.002211536,0.003004357,0.005789692,0.033367343
4/3/2020,0.478968167,0.396784269,0.629926631,0.189384358,0.118575007,0.253332116,0.504834981,0.914584025,0.0077138,0.007544101,0.024129076,0.002859337,0.002767527,0.003916466,0.00727073,0.041278341
4/4/2020,0.557693724,0.451756186,0.719511899,0.22297015,0.140224458,0.300013666,0.578717635,1.043326494,0.009928542,0.009009151,0.02933875,0.003581433,0.003401169,0.005002595,0.008989742,0.05027464
4/5/2020,0.645446246,0.510689163,0.815981422,0.259846877,0.16429666,0.351757817,0.658414166,1.184072919,0.012497476,0.010513992,0.035190185,0.004403129,0.004075191,0.00631075,0.010955431,0.06020442
4/6/2020,0.737720651,0.571991541,0.917725393,0.299250941,0.189816299,0.408832602,0.74257703,1.328520443,0.0153996,0.012138207,0.041766153,0.005245575,0.004792698,0.007768924,0.013207462,0.071217449
4/7/2020,0.834718533,0.636390419,1.023757779,0.340671896,0.216960425,0.466831497,0.830613231,1.481496499,0.018598517,0.014169381,0.049027068,0.006166871,0.00556922,0.009357112,0.015905448,0.083219352
4/8/2020,0.935686712,0.702201895,1.131005315,0.384869188,0.245763202,0.528466824,0.920877279,1.635781481,0.022903405,0.016484521,0.057013714,0.007200216,0.006454456,0.011237336,0.019416023,0.096366053
4/9/2020,1.041040978,0.77134681,1.241239746,0.431324069,0.275892281,0.593752585,1.015419991,1.792805359,0.02734409,0.019103523,0.065553356,0.008283361,0.007470148,0.013245575,0.023176179,0.110280054
4/10/2020,1.150198944,0.839084554,1.354330322,0.47997844,0.306748184,0.659360385,1.113938581,1.950528835,0.032159965,0.021838283,0.074378492,0.009412156,0.008566598,0.01530582,0.027264272,0.124583861
4/11/2020,1.259242114,0.908352462,1.468553278,0.529031209,0.338535915,0.725334228,1.213142067,2.109511998,0.037421029,0.024679755,0.083519112,0.0107028,0.00968479,0.017542085,0.031730605,0.139283628
4/12/2020,1.36493797,0.97584784,1.581064467,0.577482231,0.370056522,0.789141813,1.310107066,2.265495711,0.043124481,0.027778064,0.092956022,0.012063993,0.010911696,0.019910367,0.036609037,0.154383459
4/13/2020,1.470482631,1.044690702,1.693130621,0.626900198,0.402375394,0.852075295,1.406365887,2.424361932,0.049011328,0.030974043,0.102469703,0.013474987,0.012138602,0.022400663,0.04165579,0.169536632
4/14/2020,1.574655327,1.111885835,1.802768873,0.674645723,0.434719115,0.9143667,1.501157212,2.578121703,0.05510817,0.03403256,0.112028968,0.01492333,0.013418311,0.02498097,0.046731565,0.184749301
4/15/2020,1.676214291,1.177764232,1.909381844,0.720515457,0.465985022,0.975908016,1.593953826,2.726169798,0.061024416,0.037282799,0.121451483,0.016492022,0.014760142,0.02784531,0.051667072,0.199705519
4/16/2020,1.77526032,1.241334724,2.017974083,0.765883044,0.496899941,1.03574913,1.683894773,2.879078151,0.06742505,0.040513143,0.13108512,0.018197664,0.016220005,0.030831665,0.057104642,0.214509918
4/17/2020,1.872773388,1.304037039,2.125221619,0.807665047,0.527830391,1.095530237,1.771308958,3.030094923,0.07396568,0.043797748,0.140583207,0.020127405,0.017707822,0.034162061,0.062600253,0.228965544
4/18/2020,1.970076463,1.367869793,2.230389124,0.850430596,0.559068344,1.156983542,1.856768093,3.181236842,0.080635107,0.047210771,0.149814993,0.022152596,0.019391323,0.037632474,0.068020411,0.243234474
4/19/2020,2.06610417,1.431756808,2.335279532,0.892399348,0.592241391,1.220133049,1.941997963,3.327163575,0.087217736,0.050500803,0.158824861,0.024202686,0.021130734,0.041250904,0.073210335,0.257168991
4/20/2020,2.161865884,1.496795967,2.437256218,0.934363951,0.627563853,1.283368567,2.026600979,3.468839378,0.093929162,0.053731147,0.167837128,0.026315026,0.022966434,0.04508736,0.078556972,0.270639846
4/21/2020,2.257771795,1.56450839,2.539731919,0.977449048,0.663305636,1.349560436,2.1124548,3.6092001,0.101010178,0.057202048,0.176643071,0.028502066,0.024839406,0.048937818,0.084411477,0.283493166
4/22/2020,2.35043539,1.630545953,2.642195624,1.018787003,0.699264847,1.413390024,2.197304495,3.746524444,0.107896599,0.06060241,0.185564172,0.030539706,0.026936017,0.052436234,0.090480738,0.295862307
4/23/2020,2.447933059,1.698299976,2.739143769,1.060191358,0.737019377,1.481480118,2.283490123,3.875088423,0.115093813,0.064227051,0.193946672,0.032581497,0.028979825,0.056368701,0.096359427,0.30801603
4/24/2020,2.545269732,1.768162946,2.837663333,1.104002702,0.776969914,1.554026743,2.368555541,4.006036371,0.122320425,0.067898719,0.202372356,0.034635737,0.031147876,0.060295168,0.102312604,0.320112307
4/25/2020,2.643085193,1.836701946,2.941915577,1.146095954,0.817535457,1.626191322,2.456987395,4.137983451,0.129528838,0.071554108,0.21071647,0.036582078,0.033300397,0.064251638,0.108423461,0.33161567
4/26/2020,2.744855552,1.905758235,3.048270643,1.186296814,0.857088414,1.697957853,2.549303228,4.271811855,0.136882847,0.07524748,0.219290899,0.038536719,0.035322462,0.068062091,0.115152466,0.342698453
4/27/2020,2.847215295,1.972946133,3.156176736,1.227946018,0.896218942,1.769584368,2.64188025,4.407620061,0.143944264,0.078973409,0.22723556,0.040462309,0.037316572,0.071384486,0.121563207,0.35349196
4/28/2020,2.946721912,2.037055619,3.263003228,1.268449828,0.936563952,1.83723441,2.731630626,4.542613778,0.150724288,0.082547406,0.235041074,0.042292451,0.039332425,0.074708881,0.127629565,0.364129545
4/29/2020,3.04926085,2.10159015,3.368921656,1.311659424,0.97701457,1.905816563,2.8223919,4.679060033,0.157861302,0.086121404,0.242447135,0.044404791,0.041239564,0.078505333,0.133610796,0.374514782
4/30/2020,3.146556925,2.165245651,3.476555449,1.355491518,1.016284872,1.973592621,2.911557986,4.815056987,0.164617527,0.089527192,0.250243051,0.046546181,0.043357918,0.081907737,0.139841606,0.384567658
5/1/2020,3.24305222,2.226486533,3.581307908,1.399373411,1.053663566,2.037698242,3.000663128,4.947383614,0.171670544,0.09290585,0.257836243,0.048679271,0.045417256,0.085366148,0.146249445,0.394279967
