fips,state_fips_x,name,state,state_abbr,county_name,region_num,region_text,per_minority,per_ge65,per_lt18,per_withdisability,per_ltHS,per_noenglishprof,per_singleparent,per_belowpoverty,capita_inc,per_unemploy,per_noinsurance,per_renter,per_rentgt30,per_crowded,per_novehicle,trad_pca_1,trad_pca_2,trad_pca_3,trad_pca_4,trad_pca_5,trad_sdoh_score,trad_Cluster,trad_F_0,trad_F_1,trad_F_2,trad_F_3,trad_F_Cluster
1001,1,"Autauga County, Alabama",Alabama,AL,Autauga County,3,South Region,25.0,14.6,24.2,19.3,11.3,1.3,23.1,12.0,29372,2.5,7.1,25.1,53.1,1.4,5.6,-0.5397001113947988,-0.06722176767566412,0.2543207173069432,-0.4672977018026324,-0.8731636291866877,-0.25218275996007244,2,0.06863347524492171,0.0039741113148036794,-0.57534170297169,0.4668360612380264,3.0
1003,1,"Baldwin County, Alabama",Alabama,AL,Baldwin County,3,South Region,17.0,19.5,21.9,14.0,9.7,1.7,20.2,7.3,31203,2.6,10.2,26.4,48.3,1.3,3.4,-1.590949230705935,0.391794361961726,0.07281894481617338,0.2960478736921762,-0.38502843206658816,-0.468627861098299,0,-0.4967509574848032,-0.511307892921606,-0.26068233544372715,-0.042751575422480495,3.0
1005,1,"Barbour County, Alabama",Alabama,AL,Barbour County,3,South Region,53.9,18.0,21.1,22.2,27.0,2.4,53.1,21.5,18461,4.4,11.2,38.6,47.6,3.4,9.2,3.8052727203934373,-2.0300375028396824,0.43929178135619795,0.12394584769817762,-0.3920270538866321,0.9716107627428612,3,1.5246095629669851,1.5323411742600357,0.17568334268141886,-0.2637606940083326,2.0
1007,1,"Bibb County, Alabama",Alabama,AL,Bibb County,3,South Region,25.4,16.3,20.7,16.7,16.8,1.3,21.5,10.5,20199,3.6,7.9,24.9,46.1,0.8,6.0,-0.2242039058038994,-0.7179273777887142,-0.25912689974720576,-0.3032350449004732,-0.5974555732206246,-0.2912762182313319,2,0.3845045124104022,-0.19740657345039364,-0.353864234203225,-0.055338931734957984,1.0
1009,1,"Blount County, Alabama",Alabama,AL,Blount County,3,South Region,12.9,17.8,23.4,14.2,19.8,3.3,27.0,10.2,22656,2.0,11.0,21.4,42.5,1.6,4.2,-0.46187168497896997,-0.16762882256589015,-1.3778542628135255,-0.006049636456596185,-0.7116269113555713,-0.385372653569315,2,0.4885554417152282,-0.9259423675279522,0.08417005167599963,0.18604208596477198,3.0
1011,1,"Bullock County, Alabama",Alabama,AL,Bullock County,3,South Region,78.5,15.6,20.8,14.4,24.8,0.8,72.2,31.0,20346,5.8,10.8,24.5,58.6,0.0,11.7,4.794690347792484,-2.3850708868720703,1.9686668123487827,-0.39489835115960015,-1.5038084718675029,1.31625776659635,3,1.4269775368705648,3.014733364380281,-0.3466011814886091,0.1839862403903929,2.0
1013,1,"Butler County, Alabama",Alabama,AL,Butler County,3,South Region,48.1,19.0,22.8,17.7,15.4,0.6,46.2,18.9,20430,3.6,10.2,30.1,45.8,1.8,7.8,1.7897464430026062,-1.293578841718667,0.3931751654354597,-0.4800481223529602,-0.4632247093318633,0.3635408832796636,3,0.9025497558791098,0.9892515778551352,-0.4018393179203865,0.22388893796924605,2.0
1015,1,"Calhoun County, Alabama",Alabama,AL,Calhoun County,3,South Region,27.5,16.8,21.9,20.8,15.9,1.6,36.2,14.6,24706,5.0,9.4,30.5,48.2,1.7,5.8,1.0613994450935755,-1.1558120984758309,0.488854140620389,-0.5313979783147361,-0.4559260369115914,0.14663751461093374,2,0.5792392857410924,0.6263512917357708,-0.3854420121508417,-0.04381940070368477,2.0
1017,1,"Chambers County, Alabama",Alabama,AL,Chambers County,3,South Region,44.2,18.9,20.7,16.7,18.6,0.8,45.8,11.3,22827,2.8,10.8,32.2,42.7,3.0,7.3,1.1882373171664955,-0.7499956812482005,0.2585389877504797,0.2289776405670028,-0.05763752074497941,0.312931988159578,2,0.36788589858809545,0.5617530238286452,-0.06316296884511177,-0.20338880145683536,2.0
1019,1,"Cherokee County, Alabama",Alabama,AL,Cherokee County,3,South Region,8.2,21.7,20.4,20.0,19.8,0.5,19.8,12.5,23356,2.7,8.3,21.0,48.9,1.5,4.1,-0.8537668656608364,-1.7711272770223274,-0.9095520360143,0.3083427188447539,-0.35097786063111025,-0.7129149829254979,2,0.9121415627972528,-0.7228549043562392,-0.3516565259078553,-0.6845320983687923,1.0
